Cohort 19 (Fall 2024 Schedule),,,,,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 6,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 13,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 20,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 26,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 33,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 39,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
NO CLASS,M,8/12/2024,,NO CLASS,N/A,N/A,,2,M,9/16/2024,,JAVASCRIPT,JavaScript Introduction and Debugging,Trevor M.,,5,M,11/4/2024,,REACT.js,Calling APIs,Trevor M.,,4,M,12/16/2024,,BACKEND PROG.,File System Module,Curtis D.,,4,M,1/27/2025,,BACK END - DEPLOYMENT,Docker Images and Orchestration,Chase S.,,13,M,3/17/2025,,CAPSTONE,Capstone Project,Thomas C.,,23,M,4/28/2025,,ANGULAR,Day #25: Animations in Angular,Adrien D.
NO CLASS,T,8/13/2024,,NO CLASS,N/A,N/A,,3,T,9/17/2024,,JAVASCRIPT,Data Types and Variables,Scott B.,,6,T,11/5/2024,,REACT.js,State Management 1,Moses K.,,5,T,12/17/2024,,BACKEND PROG.,Node.js CSV/Email,Thomas C.,,1,T,1/28/2025,,HOSTING - DAY 1,AWS Introduction & Concepts Overview,Clint P.,,14,T,3/18/2025,,CAPSTONE,Capstone Project,Curtis D.,,24,T,4/29/2025,,ANGULAR,Day #26: Angular Lazy Loading,Adrien D.
NO CLASS,W,8/14/2024,,NO CLASS,N/A,N/A,,4,W,9/18/2024,,JAVASCRIPT,"Operators, Conditionals and Switch Statements",Trevor M.,,7,W,11/6/2024,,REACT.js,State Management 2,Trevor M.,,6,W,12/18/2024,,BACKEND PROG.,Node.js TCP,Curtis D.,,5,W,1/29/2025,,BACK END - DEPLOYMENT,Project Day,Chase S.,,15,W,3/19/2025,,CAPSTONE,Capstone Project Presentation,Thomas C. & Curtis D.,,25,W,4/30/2025,,ANGULAR,Day #27: Angular Unit Testing - Part 1,Adrien D.
1,TH,8/15/2024,,SOURCE CONTROL,"Class Orientation, GitHub, VS Code, Bash",Bryce G.,,5,TH,9/19/2024,,JAVASCRIPT,"Strings, Numbers and Math",Scott B.,,8,TH,11/7/2024,,REACT.js,Reducers,Trevor M.,,7,TH,12/19/2024,,BACKEND PROG.,Debugger and Logging,Thomas C.,,2,TH,1/30/2025,,HOSTING - DAY 2,AWS Cloud Economics and Billing,Clint P.,,1,TH,3/20/2025,,ANGULAR,"Day #1: Course Overview, Angular Introduction, Setting Up and Running an Angular App, Intro to Modules",Alberto G.,,26,TH,5/1/2025,,ANGULAR,Day #28: Angular Unit Testing - Part 2,Alberto G.
2,F,8/16/2024,,SOURCE CONTROL,Version Control Fundamentals,Bryce G.,,6,F,9/20/2024,,JAVASCRIPT,Arrays,Scott B.,,9,F,11/8/2024,,REACT.js,Context,Moses K.,,8,F,12/20/2024,,BACKEND PROG.,Node.js HTTP(S),Curtis D.,,1,F,1/31/2025,,QA - DAY 1,Day 1 - Unit Testing ,Curtis D.,,2,F,3/21/2025,,ANGULAR,Day #2: Components,Megan M.,,27,F,5/2/2025,,ANGULAR,Day #29: Ionic - Getting Started,Todd H.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 2,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 7,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 14,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 21,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 27,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 34,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 40,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
3,M,8/19/2024,,SOURCE CONTROL,Version Control Intermediate,Bryce G.,,7,M,9/23/2024,,JAVASCRIPT,"Functions, Iterators and Closures",Trevor M.,,10,M,11/11/2024,,REACT.js,Combining Reducers and Context,Trevor M.,,9,M,12/23/2024,,BACKEND PROG. - EXPRESS,Introduction to ExpressJS,Thomas C.,,3,M,2/3/2025,,HOSTING - DAY 3,AWS Global Infrastructure,Clint P.,,1,M,3/24/2025,,ANGULAR,Day #3: Interpolation and Data Binding,Adrien D.,,28,M,5/5/2025,,ANGULAR,Day #30: Ionic - Navigation,Todd H.
4,T,8/20/2024,,SOURCE CONTROL,Version Control Advanced,Bryce G.,,8,T,9/24/2024,,JAVASCRIPT,Loops,Moses K.,,11,T,11/12/2024,,REACT.js,Pages and Routing,Scott B.,,CAMPUS CLOSED,T,12/24/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,2,T,2/4/2025,,QA - DAY 2,Day 2 - Jasmine,Chase S.,,2,T,3/25/2025,,ANGULAR,Day #4: Built-in Directives,Adrien D.,,29,T,5/6/2025,,ANGULAR,Day #31: Ionic - Native Build Tools,Todd H.
